PERIODO,ESTU_DEPTO_RESIDE,ESTU_PRGM_ACADEMICO,ESTU_HORASSEMANATRABAJA,ESTU_GENERO,ESTU_PAGOMATRICULAPROPIO,FAMI_EDUCACIONPADRE,FAMI_TIENEAUTOMOVIL,FAMI_TIENELAVADORA,FAMI_ESTRATOVIVIENDA,FAMI_TIENECOMPUTADOR,FAMI_TIENEINTERNET,FAMI_EDUCACIONMADRE,MOD_RAZONA_CUANTITAT_PUNT,MOD_COMUNI_ESCRITA_PUNT,MOD_LECTURA_CRITICA_PUNT,MOD_INGLES_PUNT,MOD_COMPETEN_CIUDADA_PUNT,AGE,PUNT_GLOBAL,RENDIMIENTO
2018,BOGOTÁ,LICENCIATURA EN BIOLOGIA,Entre 21 y 30 horas,F,Si,Educación profesional incompleta,Si,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) completa,168,95.0,174,139.0,207,23.0,156.6,Medio
2018,CUNDINAMARCA,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN CIENCIAS SOCIALES,Menos de 10 horas,F,No,Técnica o tecnológica completa,Si,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,184,136.0,200,177.0,206,21.0,180.6,Alto
2019,BOGOTÁ,INGENIERIA ELECTRICA,Menos de 10 horas,M,Si,Educación profesional completa,Si,Si,Estrato 2,Si,Si,Educación profesional completa,219,153.0,202,195.0,217,24.0,197.2,Alto
2020,BOGOTÁ,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN HUMANIDADES Y LENGUA CASTELLANA,Entre 11 y 20 horas,M,Si,Secundaria (Bachillerato) completa,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,161,145.0,203,198.0,191,24.0,179.6,Medio
2020,BOGOTÁ,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN INGLES,Entre 21 y 30 horas,M,Si,Técnica o tecnológica incompleta,Si,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) completa,153,300.0,181,204.0,177,26.0,203.0,Alto
2020,CUNDINAMARCA,ARTES PLASTICAS Y VISUALES,Entre 11 y 20 horas,M,No,Secundaria (Bachillerato) completa,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,139,135.0,168,206.0,186,25.0,166.8,Medio
2020,BOGOTÁ,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN HUMANIDADES Y LENGUA CASTELLANA,Entre 11 y 20 horas,F,Si,Secundaria (Bachillerato) incompleta,No,Si,Estrato 2,Si,Si,Primaria completa,144,0.0,175,152.0,180,22.0,130.2,Medio
2020,BOGOTÁ,INGENIERIA CATASTRAL Y GEODESIA,Menos de 10 horas,M,Si,Secundaria (Bachillerato) incompleta,No,Si,Estrato 3,Si,Si,Postgrado,190,129.0,163,153.0,166,23.0,160.2,Medio
2020,BOGOTÁ,INGENIERIA ELECTRONICA,Entre 11 y 20 horas,M,No,Primaria completa,Si,Si,Estrato 1,Si,Si,Primaria completa,226,138.0,167,168.0,138,22.0,167.4,Medio
2020,BOGOTÁ,LICENCIATURA EN QUIMICA,Más de 30 horas,F,Si,Primaria completa,No,Si,Estrato 2,Si,Si,Técnica o tecnológica incompleta,197,137.0,191,160.0,209,22.0,178.8,Medio
