PERIODO,ESTU_DEPTO_RESIDE,ESTU_PRGM_ACADEMICO,ESTU_HORASSEMANATRABAJA,ESTU_GENERO,ESTU_PAGOMATRICULAPROPIO,FAMI_EDUCACIONPADRE,FAMI_TIENEAUTOMOVIL,FAMI_TIENELAVADORA,FAMI_ESTRATOVIVIENDA,FAMI_TIENECOMPUTADOR,FAMI_TIENEINTERNET,FAMI_EDUCACIONMADRE,AGE,RENDIMIENTO
2020,CUNDINAMARCA,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN HUMANIDADES Y LENGUA CASTELLANA,0,F,0,Primaria incompleta,0,0,2,1,0,Secundaria (Bachillerato) incompleta,25.0,Medio
2020,BOGOTÁ,INGENIERÍA SANITARIA,Entre 11 y 20 horas,F,1,Técnica o tecnológica completa,0,1,3,1,1,Secundaria (Bachillerato) completa,25.0,Alto
2020,BOGOTÁ,INGENIERIA INDUSTRIAL,Más de 30 horas,M,1,Educación profesional completa,1,1,2,1,1,Secundaria (Bachillerato) completa,23.0,Medio
2020,CALDAS,INGENIERÍA SANITARIA,Menos de 10 horas,F,0,Técnica o tecnológica completa,0,1,3,1,1,Técnica o tecnológica completa,23.0,Medio
2020,BOGOTÁ,INGENIERIA CIVIL,Más de 30 horas,F,1,Secundaria (Bachillerato) incompleta,0,1,1,1,0,Secundaria (Bachillerato) incompleta,25.0,Alto
2021,BOGOTÁ,INGENIERIA AMBIENTAL,Menos de 10 horas,M,0,Educación profesional completa,1,1,4,1,1,Secundaria (Bachillerato) completa,22.0,Medio
2018,BOGOTÁ,INGENIERIA EN TELEMATICA,Entre 21 y 30 horas,M,0,Secundaria (Bachillerato) completa,0,1,3,1,0,Secundaria (Bachillerato) incompleta,23.0,Medio
2018,BOGOTÁ,LICENCIATURA EN BIOLOGIA,Entre 11 y 20 horas,F,1,Secundaria (Bachillerato) incompleta,0,1,1,1,1,Secundaria (Bachillerato) incompleta,24.0,Medio
2018,CUNDINAMARCA,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN CIENCIAS SOCIALES,Entre 11 y 20 horas,F,0,Primaria incompleta,0,1,2,1,1,Secundaria (Bachillerato) completa,24.0,Medio
2018,BOGOTÁ,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN CIENCIAS SOCIALES,Más de 30 horas,M,1,Técnica o tecnológica completa,0,0,2,1,1,Educación profesional incompleta,24.0,Medio
2018,BOGOTÁ,INGENIERIA CIVIL,Más de 30 horas,M,1,Secundaria (Bachillerato) incompleta,0,1,3,1,1,Técnica o tecnológica completa,29.0,Medio
2018,BOGOTÁ,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS,Entre 11 y 20 horas,M,0,No Aplica,0,1,1,1,1,Educación profesional completa,23.0,Medio
2018,BOGOTÁ,INGENIERIA DE PRODUCCION,Más de 30 horas,M,1,Secundaria (Bachillerato) completa,0,1,2,1,1,Secundaria (Bachillerato) completa,24.0,Medio
2018,BOGOTÁ,INGENIERIA TOPOGRAFICA,Entre 11 y 20 horas,M,1,Secundaria (Bachillerato) completa,1,1,3,1,1,Secundaria (Bachillerato) incompleta,23.0,Medio
2018,BOGOTÁ,INGENIERIA DE PRODUCCION,Entre 11 y 20 horas,F,0,Secundaria (Bachillerato) completa,0,1,2,1,1,Secundaria (Bachillerato) completa,22.0,Medio
2018,BOGOTÁ,INGENIERIA DE PRODUCCION,Más de 30 horas,M,1,Secundaria (Bachillerato) incompleta,0,1,2,1,1,Postgrado,24.0,Alto
2019,BOGOTÁ,INGENIERIA DE PRODUCCION,Entre 11 y 20 horas,M,1,Primaria incompleta,1,1,2,1,1,Primaria completa,25.0,Medio
2019,BOGOTÁ,INGENIERIA EN  TELECOMUNICACIONES,Más de 30 horas,M,0,Técnica o tecnológica completa,0,1,2,1,1,Técnica o tecnológica completa,22.0,Medio
2019,BOGOTÁ,INGENIERIA EN  TELECOMUNICACIONES,Más de 30 horas,M,1,Secundaria (Bachillerato) incompleta,0,0,3,1,1,No sabe,25.0,Medio
2019,BOGOTÁ,ARTES ESCENICAS,Entre 21 y 30 horas,F,1,Secundaria (Bachillerato) completa,0,0,2,1,1,Educación profesional completa,27.0,Medio
2019,BOGOTÁ,INGENIERIA DE PRODUCCION,Menos de 10 horas,M,1,Primaria incompleta,0,1,1,1,1,Ninguno,25.0,Medio
2019,BOGOTÁ,INGENIERIA ELECTRICA,Entre 11 y 20 horas,M,1,Primaria incompleta,0,1,2,1,1,Secundaria (Bachillerato) incompleta,24.0,Medio
